gameid,tournament,gametype,team,teamid,result,age,diff_value_1,diff_value_2,past_result
2515890,AC15,Gruppe D,Guinea,3856,1,23.73913043478261,-3357156.5934065934,-1.317923470158107,0.95
2515882,AC15,Gruppe D,Elfenbeinküste,3591,1,26.136363636363637,12747777.777777778,0.8353112486348744,2.9568749999999997
2515882,AC15,Gruppe D,Guinea,3856,1,23.5,-12747777.777777778,-5.0720601237842615,0.0475
2515883,AC15,Gruppe D,Mali,3674,1,26.73913043478261,-3001091.2698412705,-1.3069644863043295,0.0
2515883,AC15,Gruppe D,Kamerun,3434,1,23.772727272727273,3001091.2698412705,0.5665299548663782,2.8499999999999996
2466308,WM14,Finale,Deutschland,3262,1,25.90909090909091,12863461.538461536,0.2594747662826331,1.14060621875
2466308,WM14,Finale,Argentinien,3437,0,28.652173913043477,-12863461.538461536,-0.3503928758512309,2.8527437335937496
2466306,WM14,Spiel um Platz Drei,Brasilien,3439,0,28.09090909090909,15696581.196581192,0.4073868677905944,0.05225
2466306,WM14,Spiel um Platz Drei,Niederlande,3379,3,25.904761904761905,-15696581.196581192,-0.6874415122590303,0.09975
2464610,WM14,Halbfinale,Niederlande,3379,2,26.0,-14691010.378510378,-0.6578941073143392,0.0475
2464610,WM14,Halbfinale,Argentinien,3437,4,28.772727272727273,14691010.378510378,0.3968251677907686,0.0
2464545,WM14,Halbfinale,Brasilien,3439,1,28.047619047619047,-11947222.222222216,-0.32744575561476963,2.04513625
2464545,WM14,Halbfinale,Deutschland,3262,7,25.90909090909091,11947222.222222216,0.24667354897912352,2.9473749999999996
2463354,WM14,Viertelfinale,Argentinien,3437,1,28.863636363636363,3400310.8003108054,0.09690004871352031,
2463354,WM14,Viertelfinale,Belgien,3382,0,25.545454545454547,-3400310.8003108054,-0.10729714753664288,
2462864,WM14,Viertelfinale,Niederlande,3379,4,26.0,16660981.379731381,0.8397134615384616,
2462864,WM14,Viertelfinale,Costa Rica,8497,3,26.904761904761905,-16660981.379731381,-5.238827100505106,
2463274,WM14,Viertelfinale,Frankreich,3377,0,26.227272727272727,-14805555.555555552,-0.42149765800839467,1.0453621874999999
2463274,WM14,Viertelfinale,Deutschland,3262,1,25.90909090909091,14805555.555555552,0.296516603902773,1.9475
2462650,WM14,Viertelfinale,Brasilien,3439,2,27.90909090909091,26359265.734265734,0.6088311303739198,0.9500124835937499
2462650,WM14,Viertelfinale,Kolumbien,3816,1,27.043478260869566,-26359265.734265734,-1.5564406517213496,0.9500059375
2462533,WM14,Achtelfinale,Argentinien,3437,1,28.772727272727273,18715811.965811968,0.5293726580442404,2.8974999999999995
2462533,WM14,Achtelfinale,Schweiz,3384,0,25.476190476190474,-18715811.965811968,-1.1248234236548096,0.9974999999999999
2462535,WM14,Achtelfinale,Belgien,3382,2,25.523809523809526,27098461.53846154,0.8403625954198474,3.8474999999999997
2462535,WM14,Achtelfinale,USA,3505,1,27.347826086956523,-27098461.53846154,-5.264196054991034,1.9
2462532,WM14,Achtelfinale,Frankreich,3377,2,26.391304347826086,26510317.46031746,0.7646769301207578,0.0
2462532,WM14,Achtelfinale,Nigeria,3444,0,25.333333333333332,-26510317.46031746,-3.2494771146456536,0.95
2462534,WM14,Achtelfinale,Deutschland,3262,2,25.772727272727273,40379166.666666664,0.8883416666666667,
2462534,WM14,Achtelfinale,Algerien,3614,1,26.217391304347824,-40379166.666666664,-7.955892230763489,
2462530,WM14,Achtelfinale,Niederlande,3379,2,26.0,13502023.809523808,0.6046488071438091,1.9949999999999999
2462530,WM14,Achtelfinale,Mexiko,6303,1,26.90909090909091,-13502023.809523808,-1.5293966935462118,0.9974999999999999
2462531,WM14,Achtelfinale,Costa Rica,8497,6,27.0,-3825014.88095238,-1.1826949179837576,
2462531,WM14,Achtelfinale,Griechenland,3378,4,28.130434782608695,3825014.88095238,0.5418507681670235,
2462528,WM14,Achtelfinale,Brasilien,3439,4,27.82608695652174,31183694.083694085,0.7153655811643977,2.002619641437504
2462528,WM14,Achtelfinale,Chile,3700,3,27.608695652173914,-31183694.083694085,-2.5132785560188173,1.0452377968750934
2462529,WM14,Achtelfinale,Kolumbien,3816,2,27.0,1243939.3939393926,0.072735326688815,0.19238724687304687
2462529,WM14,Achtelfinale,Uruguay,3449,0,28.181818181818183,-1243939.3939393926,-0.0784407395022213,1.9072621569921875
2384312,WM14,Gruppe A,Kamerun,3434,1,26.26086956521739,-32238846.153846152,-3.2314661320791087,0.95
2384312,WM14,Gruppe A,Brasilien,3439,4,27.82608695652174,32238846.153846152,0.7636752915451895,0.095
2384313,WM14,Gruppe A,Kroatien,3556,1,26.956521739130434,9505914.918414919,0.5335789893756215,0.0
2384313,WM14,Gruppe A,Mexiko,6303,3,26.82608695652174,-9505914.918414919,-1.1439857494012573,0.95
2384345,WM14,Gruppe A,Kamerun,3434,0,26.217391304347824,-6801587.301587302,-0.663955064884757,
2384345,WM14,Gruppe A,Kroatien,3556,4,26.956521739130434,6801587.301587302,0.3990222325689675,
2384344,WM14,Gruppe A,Brasilien,3439,0,27.82608695652174,33531923.07692308,0.7943057580174927,1.9051063093752783
2384344,WM14,Gruppe A,Mexiko,6303,0,26.82608695652174,-33531923.07692308,-3.8615847986889316,0.09750592265652344
2384329,WM14,Gruppe A,Mexiko,6303,1,26.82608695652174,-1577435.064935064,-0.18983582857403336,
2384329,WM14,Gruppe A,Kamerun,3434,0,26.217391304347824,1577435.064935064,0.15954791746483488,
2384328,WM14,Gruppe A,Brasilien,3439,3,27.82608695652174,29156944.44444444,0.6635375181743473,0.95
2384328,WM14,Gruppe A,Kroatien,3556,1,27.0,-29156944.44444444,-1.972099577266322,0.0
2384314,WM14,Gruppe B,Australien,3433,0,25.82608695652174,-52597470.86247086,-28.55573694767681,
2384314,WM14,Gruppe B,Spanien,3375,3,27.782608695652176,52597470.86247086,0.9661656211864951,
2384315,WM14,Gruppe B,Niederlande,3379,2,25.772727272727273,5328679.653679654,0.30137967338344396,
2384315,WM14,Gruppe B,Chile,3700,0,27.608695652173914,-5328679.653679654,-0.43139264905594255,
2384347,WM14,Gruppe B,Australien,3433,2,25.714285714285715,-18970833.333333332,-10.02863436123348,0.097375
2384347,WM14,Gruppe B,Niederlande,3379,3,25.956521739130434,18970833.333333332,0.9093269422808069,0.049875
2384346,WM14,Gruppe B,Spanien,3375,0,27.782608695652176,42073484.848484844,0.7728499860840523,2.04760625
2384346,WM14,Gruppe B,Chile,3700,2,27.565217391304348,-42073484.848484844,-3.402377014029283,1.997375
2384331,WM14,Gruppe B,Chile,3700,3,27.52173913043478,10504545.454545453,0.8504139834406623,
2384331,WM14,Gruppe B,Australien,3433,1,25.82608695652174,-10504545.454545453,-5.6851168511685115,
2384330,WM14,Gruppe B,Spanien,3375,1,27.782608695652176,33967532.46753247,0.6307982956829328,0.952375
2384330,WM14,Gruppe B,Niederlande,3379,5,25.956521739130434,-33967532.46753247,-1.7085465432770826,0.05225
2384316,WM14,Gruppe C,Japan,3435,1,26.91304347826087,-7971139.971139973,-0.8765992898657093,0.0
2384316,WM14,Gruppe C,Kolumbien,3816,4,27.0,7971139.971139973,0.4671211880978807,0.0475
2384317,WM14,Gruppe C,Griechenland,3378,2,27.772727272727273,-5035042.735042734,-0.7060162991371044,
2384317,WM14,Gruppe C,Elfenbeinküste,3591,1,27.285714285714285,5035042.735042734,0.413839128907622,
2384349,WM14,Gruppe C,Japan,3435,0,26.91304347826087,2048809.5238095243,0.22531093170412397,0.95
2384349,WM14,Gruppe C,Griechenland,3378,0,28.043478260869566,-2048809.5238095243,-0.2908404686795856,0.0
